number, avg elapsed time (s), avg max val, avg rate, max val1, rate 1, max val2, rate 2, max val 3, rate 3, graph, nodes, edges, selection, crossover, mutation, replacement, N, K, S_RATE, M_THRE, P0, POINTS, K_FIT, T, C
25, 180.00, 3132.00, 0.016667, 3130, 0.010000, 3146, 0.030000, 3121, 0.010000, maxcut500, 500, 4990, order, fixedonepoint, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
26, 180.00, 3187.00, 0.093333, 3169, 0.170000, 3177, 0.080000, 3215, 0.030000, maxcut500, 500, 4990, random, fixedonepoint, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
27, 180.00, 3218.00, 0.010000, 3222, 0.010000, 3215, 0.010000, 3219, 0.010000, maxcut500, 500, 4990, roulette, fixedonepoint, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
28, 180.00, 3177.00, 0.133333, 3166, 0.230000, 3161, 0.120000, 3204, 0.050000, maxcut500, 500, 4990, sharing, fixedonepoint, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
29, 180.00, 2853.00, 0.010000, 2843, 0.010000, 2852, 0.010000, 2864, 0.010000, maxcut500, 500, 4990, tornament, fixedonepoint, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
30, 180.00, 3201.00, 0.036667, 3203, 0.040000, 3198, 0.010000, 3202, 0.060000, maxcut500, 500, 4990, order, fixedonepoint, increase, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
31, 180.00, 2938.00, 0.010000, 2941, 0.010000, 2940, 0.010000, 2935, 0.010000, maxcut500, 500, 4990, random, fixedonepoint, increase, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
32, 180.00, 2947.00, 0.010000, 2943, 0.010000, 2946, 0.010000, 2953, 0.010000, maxcut500, 500, 4990, roulette, fixedonepoint, increase, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
33, 180.00, 2965.00, 0.010000, 2965, 0.010000, 2963, 0.010000, 2967, 0.010000, maxcut500, 500, 4990, sharing, fixedonepoint, increase, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
34, 180.00, 2767.00, 0.010000, 2766, 0.010000, 2768, 0.010000, 2768, 0.010000, maxcut500, 500, 4990, tornament, fixedonepoint, increase, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
35, 180.00, 2959.00, 0.013333, 2961, 0.020000, 2954, 0.010000, 2964, 0.010000, maxcut500, 500, 4990, order, fixedonepoint, increase, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
36, 180.00, 2648.00, 0.010000, 2637, 0.010000, 2642, 0.010000, 2667, 0.010000, maxcut500, 500, 4990, random, fixedonepoint, increase, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
37, 180.00, 2885.00, 0.010000, 2874, 0.010000, 2896, 0.010000, 2885, 0.010000, maxcut500, 500, 4990, roulette, fixedonepoint, increase, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
38, 180.00, 2657.00, 0.010000, 2642, 0.010000, 2659, 0.010000, 2672, 0.010000, maxcut500, 500, 4990, sharing, fixedonepoint, increase, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
