rate, elasped time (s), max val, avg val
0.001000, 8, 348, 302.83
0.001000, 8, 348, 302.12
0.001000, 8, 348, 302.58
0.001000, 8, 348, 303.61
0.001000, 8, 348, 302.64
0.001000, 8, 348, 302.64
0.001000, 8, 348, 303.26
0.001000, 8, 348, 303.25
0.001000, 8, 348, 302.68
0.001000, 8, 348, 303.44
0.001000, 8, 348, 302.52
0.001000, 8, 348, 301.95
0.001000, 8, 348, 302.58
0.001000, 8, 348, 303.53
0.001000, 8, 348, 302.52
0.001000, 8, 348, 303.04
0.001000, 8, 348, 302.58
0.001000, 8, 348, 303.35
0.001000, 8, 348, 302.89
0.001000, 8, 348, 302.57
0.001000, 8, 348, 302.72
0.001000, 8, 348, 302.55
0.001000, 8, 348, 303.12
0.001000, 8, 348, 303.18
0.001000, 8, 348, 303.26
0.001000, 8, 348, 303.70
0.001000, 8, 348, 303.97
0.001000, 9, 348, 303.73
0.001000, 9, 348, 303.62
0.001000, 9, 348, 304.37
0.001000, 9, 348, 304.27
0.001000, 9, 348, 303.27
0.001000, 9, 348, 302.92
0.001000, 9, 348, 304.01
0.001000, 9, 348, 303.90
0.001000, 9, 348, 303.98
0.001000, 9, 348, 303.51
0.001000, 9, 348, 303.27
0.001000, 9, 348, 303.37
0.001000, 9, 348, 303.85
0.001000, 9, 348, 302.81
0.001000, 9, 348, 303.13
0.001000, 9, 348, 303.56
0.001000, 9, 348, 302.77
0.001000, 9, 348, 303.46
0.001000, 9, 348, 303.01
0.001000, 9, 348, 303.34
0.001000, 9, 348, 304.16
0.001000, 9, 348, 302.93
0.001000, 9, 349, 303.79
0.001000, 9, 349, 303.73
0.001000, 9, 349, 303.75
0.001000, 9, 349, 303.79
0.001000, 9, 349, 303.09
0.001000, 9, 349, 303.05
0.001000, 9, 349, 302.55
0.001000, 9, 349, 303.05
0.001000, 9, 349, 302.32
0.001000, 9, 349, 302.17
0.001000, 9, 349, 303.84
0.001000, 9, 349, 303.80
0.001000, 9, 349, 303.75
0.001000, 9, 349, 304.11
0.001000, 9, 349, 304.26
0.001000, 9, 349, 302.80
0.001000, 9, 349, 303.31
0.001000, 9, 349, 303.50
0.001000, 9, 349, 304.18
0.001000, 9, 349, 303.48
0.001000, 9, 349, 303.47
