rate, elasped time (s), max val
0.020000, 0, 917
0.020000, 0, 917
0.020000, 0, 917
0.020000, 0, 917
0.030000, 0, 917
0.040000, 0, 917
0.040000, 0, 917
0.040000, 0, 917
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.010000, 0, 922
0.020000, 0, 922
0.020000, 0, 922
0.020000, 0, 922
0.020000, 0, 922
0.030000, 0, 922
0.030000, 0, 922
0.010000, 0, 937
0.010000, 0, 937
0.010000, 0, 937
0.010000, 0, 937
0.010000, 0, 937
0.010000, 0, 937
0.010000, 0, 937
0.010000, 0, 937
0.010000, 0, 937
0.010000, 0, 937
0.010000, 0, 937
0.020000, 0, 937
0.020000, 0, 937
0.030000, 0, 937
0.030000, 0, 937
0.030000, 0, 937
0.030000, 0, 937
0.030000, 0, 937
0.030000, 0, 937
0.030000, 0, 937
0.050000, 0, 937
0.050000, 0, 937
0.050000, 0, 937
0.050000, 0, 937
0.050000, 0, 937
0.050000, 0, 937
0.060000, 0, 937
0.070000, 0, 937
0.090000, 0, 937
0.090000, 0, 937
0.090000, 0, 937
0.100000, 0, 937
0.120000, 0, 937
0.130000, 0, 937
0.140000, 0, 937
0.150000, 0, 937
0.160000, 0, 937
0.170000, 0, 937
0.170000, 0, 937
0.180000, 0, 937
0.180000, 0, 937
0.180000, 0, 937
0.200000, 0, 937
0.200000, 0, 937
0.200000, 0, 937
0.200000, 0, 937
0.210000, 0, 937
0.220000, 0, 937
0.300000, 0, 937
0.330000, 0, 937
0.360000, 0, 937
0.370000, 0, 937
0.380000, 0, 937
0.430000, 0, 937
0.460000, 0, 937
0.010000, 0, 972
0.010000, 0, 972
0.010000, 0, 972
0.010000, 0, 972
0.010000, 0, 972
0.010000, 0, 972
0.010000, 0, 972
0.010000, 0, 972
0.020000, 0, 972
0.020000, 0, 972
0.020000, 0, 972
0.020000, 0, 972
0.020000, 0, 972
0.020000, 0, 972
0.020000, 0, 972
0.020000, 0, 972
0.030000, 0, 972
0.030000, 0, 972
0.030000, 0, 972
0.040000, 0, 972
0.040000, 0, 972
0.040000, 0, 972
0.040000, 0, 972
0.040000, 0, 972
0.040000, 0, 972
0.050000, 0, 972
0.050000, 0, 972
0.060000, 0, 972
